STATE_UT,DISTRICT,YEAR,LATITUDE,LONGITUDE,TOTAL_IPC_CRIMES,VIOLENT_CRIMES,PROPERTY_CRIMES,WOMEN_CRIMES,ECONOMIC_CRIMES,OTHER_CRIMES,VIOLENT_CRIME_RATIO,PROPERTY_CRIME_RATIO,WOMEN_CRIME_RATIO,ECONOMIC_CRIME_RATIO,DISTRICT_RISK_SCORE,STATE_RISK_SCORE,HIGH_SEVERITY_FLAG,LOCATION_CLUSTER
Andhra Pradesh,Adilabad,2001,15.9979,79.825,4154,1451,596,440,134,1533,0.3493,0.1435,0.1059,0.0323,5312.57,5771.22,1,14
Andhra Pradesh,Anantapur,2001,14.6819,77.6006,4125,1950,923,325,134,793,0.4727,0.2238,0.0788,0.0325,5372.57,5771.22,1,1
Andhra Pradesh,Chittoor,2001,13.2172,79.1003,5818,2384,1683,366,247,1138,0.4098,0.2893,0.0629,0.0425,6175.36,5771.22,1,5
Andhra Pradesh,Cuddapah,2001,14.4673,78.8242,3140,984,444,240,60,1412,0.3134,0.1414,0.0764,0.0191,5071.29,5771.22,1,14
Andhra Pradesh,East Godavari,2001,16.9891,82.2475,6507,1521,2479,414,261,1832,0.2337,0.381,0.0636,0.0401,7685.86,5771.22,1,14
Andhra Pradesh,Guntakal Rly.,2001,15.6979,79.525,337,12,324,1,0,0,0.0356,0.9614,0.003,0.0,381.23,5771.22,0,14
Andhra Pradesh,Guntur,2001,16.3067,80.4365,7848,2306,2582,632,343,1985,0.2938,0.329,0.0805,0.0437,7929.57,5771.22,1,14
Andhra Pradesh,Hyderabad City,2001,17.385,78.4867,11831,3608,6739,962,1293,0,0.305,0.5696,0.0813,0.1093,17458.14,5771.22,1,14
Andhra Pradesh,Karimnagar,2001,15.7029,79.53,5811,1857,1002,812,276,1864,0.3196,0.1724,0.1397,0.0475,8210.43,5771.22,1,14
Andhra Pradesh,Khammam,2001,15.9129,79.74,4582,1276,908,463,203,1732,0.2785,0.1982,0.101,0.0443,6466.57,5771.22,1,14
Andhra Pradesh,Krishna,2001,16.1809,81.1303,4779,2191,1119,557,166,746,0.4585,0.2341,0.1166,0.0347,5842.79,5771.22,1,14
Andhra Pradesh,Kurnool,2001,15.8281,78.0373,4581,1878,749,304,131,1519,0.41,0.1635,0.0664,0.0286,6419.71,5771.22,1,14
Andhra Pradesh,Mahaboobnagar,2001,15.6679,79.495,4819,1236,881,377,84,2241,0.2565,0.1828,0.0782,0.0174,6156.15,5771.22,1,14
Andhra Pradesh,Medak,2001,16.1279,79.955,3532,1641,791,388,124,588,0.4646,0.224,0.1099,0.0351,5422.29,5771.22,1,14
Andhra Pradesh,Nalgonda,2001,16.0579,79.885,5002,1403,769,503,194,2133,0.2805,0.1537,0.1006,0.0388,7493.79,5771.22,1,14
Andhra Pradesh,Nellore,2001,14.4426,79.9865,5245,1492,1460,596,242,1455,0.2845,0.2784,0.1136,0.0461,6212.57,5771.22,1,14
Andhra Pradesh,Nizamabad,2001,15.6979,79.525,3621,1657,626,344,152,842,0.4576,0.1729,0.095,0.042,5473.36,5771.22,1,14
Andhra Pradesh,Prakasham,2001,15.5057,80.0499,3678,1544,703,302,131,998,0.4198,0.1911,0.0821,0.0356,5223.57,5771.22,1,14
Andhra Pradesh,Ranga Reddy,2001,15.9379,79.765,9867,3471,3668,715,594,1419,0.3518,0.3717,0.0725,0.0602,3252.64,5771.22,1,14
Andhra Pradesh,Secunderabad Rly.,2001,15.7279,79.555,632,33,594,1,4,0,0.0522,0.9399,0.0016,0.0063,889.77,5771.22,0,14
Andhra Pradesh,Srikakulam,2001,15.9979,79.825,2572,760,580,168,87,977,0.2955,0.2255,0.0653,0.0338,3561.5,5771.22,1,14
Andhra Pradesh,Vijayawada,2001,15.7729,79.6,7150,1850,4605,656,631,0,0.2587,0.6441,0.0917,0.0883,8414.2,5771.22,1,14
Andhra Pradesh,Vijayawada Rly.,2001,16.0229,79.85,549,13,530,3,3,0,0.0237,0.9654,0.0055,0.0055,773.92,5771.22,0,14
Andhra Pradesh,Visakha Rural,2001,16.0429,79.87,3183,1594,406,193,70,920,0.5008,0.1276,0.0606,0.022,3012.71,5771.22,1,14
Andhra Pradesh,Visakhapatnam,2001,17.6868,83.2185,3422,390,1583,263,207,979,0.114,0.4626,0.0769,0.0605,4976.71,5771.22,0,0
Andhra Pradesh,Vizianagaram,2001,18.1067,83.3956,2178,595,387,177,53,966,0.2732,0.1777,0.0813,0.0243,3405.79,5771.22,1,0
Andhra Pradesh,Warangal,2001,16.0379,79.865,6319,2147,1102,564,137,2369,0.3398,0.1744,0.0893,0.0217,6083.93,5771.22,1,14
Andhra Pradesh,West Godavari,2001,16.7107,81.0952,5696,1212,2489,731,302,962,0.2128,0.437,0.1283,0.053,7647.79,5771.22,1,14
Arunachal Pradesh,Changlang,2001,28.178,94.6878,163,58,66,5,4,30,0.3558,0.4049,0.0307,0.0245,186.57,152.99,1,12
Arunachal Pradesh,Dibang Valley,2001,27.973,94.4828,139,50,56,10,0,23,0.3597,0.4029,0.0719,0.0,110.79,152.99,1,12
Arunachal Pradesh,Kameng East,2001,28.6333,77.2833,127,61,60,9,2,0,0.4803,0.4724,0.0709,0.0157,128.93,152.99,1,10
Arunachal Pradesh,Kameng West,2001,28.65,77.1,103,38,58,0,4,3,0.3689,0.5631,0.0,0.0388,114.36,152.99,1,10
Arunachal Pradesh,Lohit,2001,28.248,94.7578,190,85,82,12,4,7,0.4474,0.4316,0.0632,0.0211,197.43,152.99,1,12
Arunachal Pradesh,Papum Pare,2001,28.193,94.7028,498,166,277,27,9,19,0.3333,0.5562,0.0542,0.0181,502.23,152.99,1,12
Arunachal Pradesh,Siang East,2001,28.6333,77.2833,244,99,129,19,5,0,0.4057,0.5287,0.0779,0.0205,244.86,152.99,1,10
Arunachal Pradesh,Siang Upper,2001,28.393,94.9028,57,27,23,7,2,0,0.4737,0.4035,0.1228,0.0351,60.64,152.99,1,12
Arunachal Pradesh,Siang West,2001,28.65,77.1,361,135,178,35,8,5,0.374,0.4931,0.097,0.0222,262.29,152.99,1,10
Arunachal Pradesh,Subansiri Lower,2001,28.008,94.5178,148,50,67,8,4,19,0.3378,0.4527,0.0541,0.027,124.71,152.99,1,12
Arunachal Pradesh,Subansiri Upper,2001,28.273,94.7828,140,48,57,14,0,21,0.3429,0.4071,0.1,0.0,154.64,152.99,1,12
Arunachal Pradesh,Tawang,2001,28.023,94.5328,48,5,29,7,1,6,0.1042,0.6042,0.1458,0.0208,48.21,152.99,0,12
Arunachal Pradesh,Tirap,2001,28.038,94.5478,127,57,52,2,0,16,0.4488,0.4094,0.0157,0.0,131.21,152.99,1,12
Assam,Barpeta,2001,26.1156,92.8526,1778,634,467,190,67,420,0.3566,0.2627,0.1069,0.0377,3273.79,1908.19,1,12
Assam,Bongaigaon,2001,26.1806,92.9176,810,244,271,89,25,181,0.3012,0.3346,0.1099,0.0309,1160.5,1908.19,1,12
Assam,C.I.D.,2001,26.2506,92.9876,8,0,2,0,5,1,0.0,0.25,0.0,0.625,34.0,1908.19,0,12
Assam,Cachar,2001,26.0356,92.7726,3462,648,907,393,97,1417,0.1872,0.262,0.1135,0.028,4201.43,1908.19,0,12
Assam,Darrang,2001,26.1256,92.8626,1454,571,481,198,41,163,0.3927,0.3308,0.1362,0.0282,1945.57,1908.19,1,12
Assam,Dhemaji,2001,26.1956,92.9326,652,310,184,110,31,17,0.4755,0.2822,0.1687,0.0475,1011.43,1908.19,1,12
Assam,Dhubri,2001,26.3056,93.0426,1505,492,245,251,47,470,0.3269,0.1628,0.1668,0.0312,3556.07,1908.19,1,12
Assam,Dibrugarh,2001,26.2906,93.0276,1565,646,764,133,32,0,0.4128,0.4882,0.085,0.0204,2322.07,1908.19,1,12
Assam,G.R.P.,2001,26.1106,92.8476,371,79,281,2,0,9,0.2129,0.7574,0.0054,0.0,1436.08,1908.19,0,12
Assam,Goalpara,2001,26.2456,92.9826,873,227,293,189,20,144,0.26,0.3356,0.2165,0.0229,1606.71,1908.19,1,12
Assam,Golaghat,2001,26.0206,92.7576,1166,319,517,109,41,180,0.2736,0.4434,0.0935,0.0352,1751.57,1908.19,1,12
Assam,Guwahati City,2001,26.3806,93.1176,4373,1413,1699,244,90,927,0.3231,0.3885,0.0558,0.0206,7393.29,1908.19,1,12
Assam,Hailakandi,2001,26.0156,92.7526,820,168,277,105,33,237,0.2049,0.3378,0.128,0.0402,1128.0,1908.19,0,12
Assam,Jorhat,2001,26.3456,93.0826,1190,305,503,178,36,168,0.2563,0.4227,0.1496,0.0303,1792.36,1908.19,1,12
Assam,Kamrup,2001,26.4406,93.1776,2011,741,746,113,56,355,0.3685,0.371,0.0562,0.0278,2380.29,1908.19,1,12
Assam,Karbi Anglong,2001,26.2156,92.9526,721,281,171,27,35,207,0.3897,0.2372,0.0374,0.0485,696.5,1908.19,1,12
Assam,Karimganj,2001,26.1356,92.8726,864,217,285,106,25,231,0.2512,0.3299,0.1227,0.0289,1444.57,1908.19,1,12
Assam,Kokrajhar,2001,26.2256,92.9626,776,377,220,85,16,78,0.4858,0.2835,0.1095,0.0206,1418.71,1908.19,1,12
Assam,Lakhimpur,2001,26.0006,92.7376,1779,640,514,243,71,311,0.3598,0.2889,0.1366,0.0399,1901.5,1908.19,1,12
Assam,Morigaon,2001,26.1006,92.8376,731,163,216,80,12,260,0.223,0.2955,0.1094,0.0164,1272.21,1908.19,0,12
Assam,N.C.Hills,2001,26.2206,92.9576,187,73,77,13,6,18,0.3904,0.4118,0.0695,0.0321,231.46,1908.19,1,12
Assam,Nagaon,2001,26.1956,92.9326,3202,965,1270,348,76,543,0.3014,0.3966,0.1087,0.0237,4790.64,1908.19,1,12
Assam,Nalbari,2001,25.9856,92.7226,1194,448,334,94,39,279,0.3752,0.2797,0.0787,0.0327,1325.29,1908.19,1,12
Assam,R.P.O.,2001,26.3806,93.1176,109,30,59,6,1,13,0.2752,0.5413,0.055,0.0092,85.69,1908.19,1,12
Assam,Sibsagar,2001,26.2106,92.9476,1643,541,687,122,50,243,0.3293,0.4181,0.0743,0.0304,2266.21,1908.19,1,12
Assam,Sonitpur,2001,26.0556,92.7926,2309,788,887,249,53,332,0.3413,0.3841,0.1078,0.023,2979.43,1908.19,1,12
Assam,Tinsukia,2001,26.1906,92.9276,1469,555,800,114,11,0,0.3778,0.5446,0.0776,0.0075,2210.64,1908.19,1,12
Bihar,Araria,2001,25.1911,85.4081,2069,329,402,250,50,1038,0.159,0.1943,0.1208,0.0242,2509.0,2772.6,0,2
Bihar,Arwal,2001,25.0961,85.3131,591,350,68,32,21,120,0.5922,0.1151,0.0541,0.0355,683.79,2772.6,1,2
Bihar,Aurangabad,2001,19.8762,75.3433,1690,241,343,97,31,978,0.1426,0.203,0.0574,0.0183,2762.21,2772.6,0,9
Bihar,Bagaha,2001,25.1661,85.3831,941,578,237,56,21,49,0.6142,0.2519,0.0595,0.0223,1486.0,2772.6,1,2
Bihar,Banka,2001,24.9861,85.2031,1386,265,197,93,7,824,0.1912,0.1421,0.0671,0.0051,1708.36,2772.6,0,2
Bihar,Begusarai,2001,24.8611,85.0781,2628,462,606,100,32,1428,0.1758,0.2306,0.0381,0.0122,3467.14,2772.6,0,2
Bihar,Bettiah,2001,25.1611,85.3781,2796,1147,623,134,54,838,0.4102,0.2228,0.0479,0.0193,3748.29,2772.6,1,2
Bihar,Bhabhua,2001,25.2011,85.4181,1368,308,464,57,44,495,0.2251,0.3392,0.0417,0.0322,1672.5,2772.6,0,2
Bihar,Bhagalpur,2001,25.2425,86.9842,2634,431,867,157,60,1119,0.1636,0.3292,0.0596,0.0228,3342.07,2772.6,0,2
Bihar,Bhojpur,2001,25.2511,85.4681,2806,856,542,96,31,1281,0.3051,0.1932,0.0342,0.011,3634.43,2772.6,1,2
Bihar,Buxar,2001,25.1611,85.3781,1674,284,434,31,75,850,0.1697,0.2593,0.0185,0.0448,2015.29,2772.6,0,2
Bihar,Darbhanga,2001,26.1542,85.8918,2572,265,271,149,48,1839,0.103,0.1054,0.0579,0.0187,4030.36,2772.6,0,2
Bihar,Gaya,2001,24.7914,85.0002,3182,1016,981,127,102,956,0.3193,0.3083,0.0399,0.0321,4527.86,2772.6,1,2
Bihar,Gopalganj,2001,24.8761,85.0931,2098,475,387,203,81,952,0.2264,0.1845,0.0968,0.0386,2800.0,2772.6,0,2
Bihar,Jamalpur Rly.,2001,25.2211,85.4381,279,39,235,4,3,0,0.1398,0.8423,0.0143,0.0108,328.85,2772.6,0,2
Bihar,Jamui,2001,25.0011,85.2181,1046,434,202,59,8,343,0.4149,0.1931,0.0564,0.0076,1593.93,2772.6,1,2
Bihar,Jehanabad,2001,25.0061,85.2231,1353,264,295,41,51,702,0.1951,0.218,0.0303,0.0377,1578.71,2772.6,0,2
Bihar,Katihar,2001,24.8661,85.0831,1811,350,341,143,24,953,0.1933,0.1883,0.079,0.0133,2638.29,2772.6,0,2
Bihar,Katihar Rly.,2001,25.1661,85.3831,523,51,454,2,9,7,0.0975,0.8681,0.0038,0.0172,518.69,2772.6,0,2
